Row Labels,Count of Movies
Captain America,10
Natasha Romanoff Black Widow ,8
Nick Fury ,7
"Bruce Banner ""Hulk"" ",7
Maria Hill,7
"Tony Stark ""ironMan""",6
Thanos,6
"Sam Wilson ""Falcon""",6
"james ""Rhodey"" Rhodes War Machine ",6
Thor ,6
Loki,6
Peggy Carter ,6
F.R.I.D.A.Y,5
"Clint Barton ""Hawkeye""",5
"Wanda Maximof ""Scarlet Wich""",5
Phil Coulson,5
Stephen Strange ,4
Groot ,4
"T'Challa ""Black Panther ",4
Howard Stark,4
"Scott Lang ""Ant-Man""",4
"Peter Quill ""Star-Lord""",4
Drax The Destroyer ,4
Jarvis,4
Thaddeus Ross,4
Jasper Sitwell,4
"Tony Stark ""Iron Man""",4
"James ""Bucky"" Barnes  Winter Soldier",4
Rocket,4
"Virginia ""Pepper"" Potts",4
"Peter Parker ""Spider Man""",4
Erik Selvig,4
Frigga ,3
William Ginter Riva ,3
Mantis ,3
Fandral ,3
Hogun,3
Jane Foster ,3
Okoye ,3
"Harold "" Happy"" Hogan",3
"Taneleer Tivan ""The Collector""",3
Hawley ,3
M'Baku ,3
"Johann Schmidt ""Red Skull""",3
Nebula ,3
Liz ,3
Odin,3
Shuri,3
Gamora ,3
Helmdale,3
Ayo,3
Wong ,3
Sif,2
Vision ,2
Jim Paxton ,2
List ,2
Dave,2
Ancient One ,2
Janet van Dyne  ,2
Cameron Klein ,2
Korath ,2
Luis,2
Laura Barton ,2
Carina ,2
"Sharon Carter ""Agent 13""",2
Georgi Luchkov,2
Stern ,2
May Parker ,2
"Brock Rumlow ""Crossbones""",2
Gideon Malick ,2
Bron-Char ,2
Mr. Cobwell,2
Korg ,2
Cassie Lang ,2
Kraglin Obfonteri,2
Hank Pym ,2
"Ronan ""the Acuser""",2
Nick Fury,2
J. Jonah Jameson,2
Harley Keener ,2
Dimitri,2
Obadiah Stane ,2
Brad Davis ,2
"Adrian Toomes ""Vulture""",2
Ebony Maw ,2
Corvus Glaive ,2
T'Chaka,2
Cull Obsidian,2
Everret K. Ross ,2
"Herman Schultz ""Shocker""",2
Thor,2
Ho Yinsen ,2
Yondu Udonta,2
Darcy Lewis,2
Valkyrie,2
"Pietro Maximof ""Quicksilver""",2
"Virginia ""Pepper"" Potts ",2
Proxima Midnight ,2
Volstagg,2
"Quentin Beck ""Mysterio""",2
Wolfgang von Strucker,2
Ramonda,2
"Hope van Dyne ""Wasp"" ",2
Kurt,2
Julius Dell,2
Alexander Pierce,1
Garthan Saal ,1
Wu ,1
Ian Boothby ,1
Scrote,1
Introduced in Captain Marvel ,1
Tyr,1
"Irani Rael ""Nova Prime""",1
Bor,1
"Ivan Vanko ""Whiplash""",1
Rodriguez ,1
Chester Phillips ,1
Stakar Ogord,1
Jack Rollins,1
"Timothy""Dum Dum"" Dugan ",1
Jack Rollins ,1
Abraham Erskin,1
Jack Taggart ,1
Obadiah Stane,1
"Jackson Brice ""Shocker"" ",1
Gamora,1
Jacques Dernier ,1
Retch,1
"James ""Bucky"" Barnes ",1
Sally ,1
Christine Everhart,1
Aldrich Killian,1
"James ""Rhodey"" Rhodes ",1
Surtur,1
Christine Palmer ,1
The Broker ,1
James Montgomery ,1
Helen Cho ,1
Cindy ,1
"Carol Danvers ""Captain Marvel""",1
Anne Marie Hoag ,1
Charlie-27 ,1
"Janet van Dyne ""Wasp""",1
N'Jadaka/ Erik 'Killmonger' Stevens ,1
Coach Wilson,1
Oblo,1
Jason Ionello ,1
Gabe Jones ,1
Anton Vanko,1
Brahl,1
Jim Morita ,1
Georges Batroc,1
Cosmo ,1
Richard ,1
Jimmy Woo ,1
Roger Harrington ,1
Armin Zola ,1
Samuel Sterns ,1
Jonathan Pangborn ,1
Grandpa Quill,1
Dale,1
Sonny Burch,1
Yon-Rogg,1
Hamir ,1
Aaron Davis ,1
Aleta Ogord,1
Karen ,1
"Harold""Happy"" Hogan",1
Karl Mondo ,1
Heimdall,1
Daniel Drumm  ,1
Tiny,1
Arnim Zola ,1
Trevor Slaterry ,1
"Darren Cross ""Yellowjacket""",1
Ulysses Kalue ,1
Att-Lass ,1
Cassie Lang,1
Laufey,1
Volstagg ,1
"Ava Starr ""Ghost"" ",1
Chess Roberts ,1
Leonard Samson ,1
Howard The Duck ,1
Linda ,1
N'Jobu ,1
Doris Toomes,1
Betty Ross ,1
Dormammu ,1
Bill Foster ,1
Ayesha,1
Akihiko,1
Lucian Aster ,1
Gale,1
Abraham ,1
"Phineas Mason ""Tinkerer""",1
Mac Gargan ,1
Principal Morita ,1
Maggie,1
Gef the Ravager ,1
Maggie ,1
Raza,1
Mainframe ,1
Rhoman Dey ,1
Maleketh,1
Brandt ,1
Ego ,1
Roger Harringotn ,1
Eir,1
Brock Rumlow ,1
Maria Rambeau ,1
Gilmore Hodge,1
Maria Stark ,1
Grandmaster ,1
Martinex,1
Seymour ,1
Mar-Vell/Wendy Lawson ,1
Grandpa Quill ,1
Eitri,1
Skurge,1
Maya Hanse ,1
Soren ,1
Elihas Starr ,1
Half-Nut ,1
Meredith Quill,1
Han Pym ,1
Meredith Quill ,1
Talos ,1
Methew Ellis ,1
Taserface,1
"Michelle ""MJ""",1
Alexander Pierce ,1
Minn-Erva,1
Algrim Kurse,1
Miriam Sharpe ,1
The Other ,1
Mitchell Carson,1
Heinz Kruger ,1
Monica Rambeau ,1
Tina Minoru ,1
Morgan Stark,1
Hela,1
Ellen Brandt ,1
Topaz,1
Mr. Delmar ,1
Tulik,1
Mr. Hapgood,1
Ultron ,1
Ms. Warren ,1
Uzman,1
Nakia,1
Helmut Zemo ,1
Narblink,1
Vision,1
"Emil Blonsky ""Abomination""",1
Charles ,1
Nebula,1
Hope van Dyne,1
Eric Savin,1
W'Kabi,1
Ned Leeds ,1
Howard The Duck,1
Bereet ,1
Xoliswa,1
"Eugene ""Flash"" Thompson ",1
Nicodemus West,1
Zuri,1
Justin Hammer ,1
Kaecilius ,1
